nameAndSurname,games,points,rebounds,assists,fieldGoalPercentage,threeFieldGoal,freeThrowPercentage,effectiveFieldGoal,playerEfficiency,winShares
Fatty Taylor,640,8.0,3.9,4.0,43.8,20.6,67.6,44.1,10.5,17.0
Isaiah Taylor,71,6.3,1.4,2.9,41.3,24.4,69.9,43.8,10.4,0.6
Jay Taylor,17,3.0,0.6,0.3,40.4,23.1,66.7,43.3,9.5,-0.1
Jeff Taylor,56,3.2,1.5,2.0,41.2,0.0,69.6,41.2,8.1,-0.1
Jeff Taylor,132,6.1,2.0,0.8,40.9,31.9,66.5,46.5,8.9,1.3
David Vanterpool,22,5.5,1.7,3.0,41.8,0.0,60.0,41.8,10.9,0.0
Mark Wade,12,0.7,1.3,3.0,15.0,0.0,50.0,15.0,4.9,-0.3
Dwyane Wade,1054,22.0,4.7,5.4,48.0,29.3,76.5,49.5,23.5,120.7
Von Wafer,200,5.3,1.2,0.7,42.0,32.5,75.1,47.5,11.8,3.3
Clint Wager,63,2.3,-,1.4,28.1,,61.7,,-,1.5
Dajuan Wagner,103,9.4,1.4,1.9,36.6,32.1,77.0,41.4,9.9,0.0
Danny Wagner,11,6.3,-,1.6,35.2,,88.6,,-,0.6
Franz Wagner,79,15.2,4.5,2.9,46.8,35.4,86.3,51.7,14.7,4.0
Moritz Wagner,196,7.5,3.5,1.1,48.7,32.1,81.3,55.5,14.7,5.9
Milt Wagner,53,4.1,0.7,1.4,42.2,29.6,87.5,44.1,10.6,0.4
Ish Wainright,45,2.4,1.2,0.3,39.4,32.2,58.3,48.6,9.4,0.6
Phillip Wagner,12,3.0,1.9,1.2,26.8,25.0,76.5,28.0,0.5,-0.1
Granville Waiters,249,2.4,2.2,0.5,45.8,0.0,55.9,45.8,8.3,1.9
Dion Waiters,419,13.1,2.6,2.8,41.2,34.6,69.4,46.8,12.0,8.8
Andre Wakefield,81,2.3,1.0,0.9,35.4,-,70.8,35.4,4.4,-1.1
Neal Walk,568,12.6,7.7,2.1,45.9,,75.8,,16.9,30.3
Andy Walker,40,4.5,1.9,0.8,46.2,,76.6,,13.0,0.7
Antoine Walker,893,17.5,7.7,3.5,41.4,32.5,63.3,46.1,16.0,38.1
Brady Walker,228,7.0,5.4,1.4,38.0,,63.3,,15.6,6.9
Guerschon Yabusele,74,2.3,1.4,0.4,44.2,32.3,68.2,51.8,12.4,1.1
Vincent Yarbrough,59,6.9,2.7,2.2,39.3,26.9,79.0,41.7,9.5,1.0
George Yardley,472,19.2,8.9,1.7,42.2,,78.0,,20.6,58.5
Barry Yates,24,2.9,1.7,0.3,37.3,,63.6,,10.7,-0.2
Wayne Yates,37,1.9,2.5,0.4,29.5,,45.5,,4.1,-0.5
Max Zaslofsky,540,14.8,2.8,2.0,34.3,,76.9,,13.6,48.3
Chet Walker,1032,18.2,7.1,2.1,47.0,,79.6,,17.6,117.4
Charlie Yelverton,69,7.9,2.9,1.2,38.9,,70.7,,10.3,-0.5
Rich Yonakor,10,3.3,2.7,0.3,53.8,-,71.4,53.8,20.4,0.3
Gabe York,2,4.0,1.0,2.0,28.6,16.7,60.0,35.7,12.7,0.0
James Young,95,2.3,1.0,0.3,36.7,27.7,56.3,45.7,7.4,0.8
Danny Young,574,4.6,1.2,2.9,43.7,32.7,83.5,48.0,12.2,20.2
Joe Young,127,3.4,1.0,0.9,39.3,29.6,76.8,44.0,10.2,0.4
Korleone Young,3,4.3,1.3,0.3,50.0,25.0,100.0,55.0,31.3,0.1
Michael Young,49,4.6,1.8,0.5,46.5,29.6,71.1,48.5,15.5,1.1
Perry Young,9,1.4,0.9,0.8,28.6,-,50.0,28.6,3.0,-0.1
Nick Young,720,11.4,2.0,1.0,41.8,37.6,83.6,49.3,12.9,18.6
Thaddeus Young,1085,12.8,5.8,1.8,50.2,33.2,66.3,52.3,16.4,68.9
Sam Young,249,5.8,2.3,0.7,44.2,28.0,74.2,46.2,11.5,5.2
Tim Young,25,2.2,1.4,0.2,33.3,-,77.8,33.3,11.7,0.2
Trae Young,280,25.3,3.9,9.1,44.0,35.5,87.3,51.0,22.3,26.3
Sun Yue,10,0.6,0.0,0.2,27.3,0.0,-,27.3,-8.6,-0.1
Zeke Zawoluk,179,6.8,4.1,1.2,37.2,,76.7,,14.3,8.2
Dave Zeller,61,1.5,0.4,1.0,35.3,,75.0,,9.2,-0.1
Cody Zeller,494,8.5,6.0,1.4,52.0,22.1,73.1,52.5,16.2,32.1
Gary Zeller,90,3.2,1.1,0.4,33.2,0.0,59.4,33.2,4.2,-1.9
Luke Zeller,16,1.2,0.6,0.2,34.6,20.0,-,36.5,5.6,-0.1
Harry Zeller,48,7.5,-,0.6,31.4,,68.9,,-,3.7
Tony Zeno,8,1.8,1.8,0.1,28.6,-,100.0,28.6,0.2,-0.2
Tyler Zeller,414,6.9,4.4,0.9,50.8,28.6,76.4,51.1,14.9,17.1
Phil Zevenbergen,8,3.8,1.6,0.4,55.6,-,0.0,55.6,13.7,0.0
Wang Zhizhi,137,4.4,1.7,0.3,41.7,38.5,73.5,48.5,14.2,2.1
Derrick Zimmerman,2,2.0,2.0,3.5,66.7,-,-,66.7,5.5,0.0
George Zídek,135,3.4,2.1,0.2,40.8,25.0,78.3,40.9,8.7,0.8
Stephen Zimmerman,19,1.2,1.8,0.2,32.3,-,60.0,32.3,7.3,0.0
Ante Žižić,113,6.0,3.9,0.6,58.1,-,71.1,58.1,17.4,3.5
Paul Zipser,98,4.7,2.6,0.8,37.1,33.5,76.9,44.8,6.1,0.0
Jim Zoet,7,0.3,1.1,0.1,20.0,-,-,20.0,-0.8,-0.1
Bill Zopf,53,2.2,0.9,1.4,36.3,,55.6,,9.6,-0.1
Ivica Zubac,360,8.3,6.5,1.1,59.7,10.0,75.4,59.7,19.2,26.1
